time,temperature,humidity,precipitation,pressure
1940-01-01,-1.18,44.46,0.00,749.40
1940-01-02,-2.33,67.58,0.00,1002.50
1940-01-03,-4.39,71.92,0.10,998.68
1940-01-04,0.48,80.92,1.50,994.62
1940-01-05,2.31,83.42,0.10,993.32
1940-01-06,1.66,83.08,0.00,999.59
1940-01-07,0.51,77.29,0.00,1002.91
1940-01-08,-1.16,73.38,0.00,1001.33
1940-01-09,-0.80,74.50,0.50,1001.89
1940-01-10,-2.43,72.71,2.00,1006.83
1940-01-11,-4.60,68.12,0.20,1009.54
1940-01-12,-3.70,68.71,1.20,1014.12
1940-01-13,-4.11,72.75,0.00,1012.10
1940-01-14,-2.58,73.79,0.00,1004.37
1940-01-15,-2.00,74.04,0.00,993.51
1940-01-16,-1.57,75.88,0.00,981.25
1940-01-17,-2.22,82.58,3.30,977.65
1940-01-18,-3.51,47.00,0.40,984.33
1940-01-19,-5.98,46.29,0.00,987.05
1940-01-20,-6.43,63.58,0.00,985.72
1940-01-21,-7.32,57.88,0.00,985.71
1940-01-22,-7.59,59.92,0.00,987.53
1940-01-23,-5.15,61.75,0.00,991.24
1940-01-24,-1.78,72.92,0.80,997.44
1940-01-25,-1.02,77.08,0.00,996.56
1940-01-26,-0.31,78.21,0.00,998.40
1940-01-27,-1.47,85.62,0.40,994.98
1940-01-28,-3.04,87.67,0.00,991.08
1940-01-29,0.53,88.21,0.80,996.22
1940-01-30,-1.22,89.08,2.60,996.43
1940-01-31,-3.24,89.04,0.00,990.34
1940-02-01,-3.55,92.04,7.90,986.08
1940-02-02,-2.27,88.21,0.00,991.55
1940-02-03,-2.23,85.79,0.00,993.37
1940-02-04,-0.06,82.54,0.00,992.13
1940-02-05,0.35,84.96,0.00,996.66
1940-02-06,-0.07,89.25,1.30,1002.13
1940-02-07,0.33,85.08,0.00,1002.77
1940-02-08,1.90,84.79,0.00,998.63
1940-02-09,2.51,85.83,0.00,992.05
1940-02-10,1.82,79.29,0.00,985.67
1940-02-11,0.68,69.42,0.40,995.69
1940-02-12,0.53,75.88,0.30,990.00
1940-02-13,-6.15,45.00,0.50,984.83
1940-02-14,-10.98,30.71,0.00,989.12
1940-02-15,-9.10,42.50,0.00,993.22
1940-02-16,-5.01,49.00,0.00,993.76
1940-02-17,-3.99,57.08,0.00,989.43
1940-02-18,-2.62,65.58,0.00,991.13
1940-02-19,1.30,71.12,0.00,993.70
1940-02-20,4.06,76.25,0.00,998.74
1940-02-21,0.50,72.38,0.40,1014.07
1940-02-22,1.17,71.17,0.00,1011.32
1940-02-23,4.34,71.38,0.00,1004.35
1940-02-24,5.65,77.50,0.00,999.96
1940-02-25,4.63,86.46,0.00,1000.88
1940-02-26,4.35,86.92,0.00,1000.76
1940-02-27,5.41,83.04,0.00,1001.61
1940-02-28,5.31,84.04,0.00,1004.75
1940-02-29,6.66,82.38,0.00,1006.42
1940-03-01,5.17,84.33,0.00,1000.20
1940-03-02,1.33,74.88,0.90,1006.85
1940-03-03,0.45,68.46,0.00,1006.04
1940-03-04,3.89,73.83,0.00,997.27
1940-03-05,7.24,63.17,0.00,986.02
1940-03-06,3.03,33.75,0.00,990.39
1940-03-07,1.61,37.04,0.00,993.06
1940-03-08,1.19,45.96,0.00,999.55
1940-03-09,1.88,55.96,0.00,1005.87
1940-03-10,3.96,70.21,0.00,1004.90
1940-03-11,6.37,78.46,0.00,1003.34
1940-03-12,7.07,84.54,6.50,997.22
1940-03-13,7.87,92.42,6.50,989.61
1940-03-14,8.15,88.67,6.60,984.65
1940-03-15,7.04,53.12,0.00,989.58
1940-03-16,5.57,59.42,0.00,1002.34
1940-03-17,6.48,66.17,0.00,1005.57
1940-03-18,6.89,68.38,0.00,1007.07
1940-03-19,7.90,77.79,0.00,999.56
1940-03-20,8.24,82.83,0.00,999.15
1940-03-21,9.83,79.50,0.00,999.86
1940-03-22,9.67,79.62,0.00,1001.37
1940-03-23,9.97,81.88,0.00,997.50
1940-03-24,11.08,79.38,0.30,996.04
1940-03-25,12.17,78.92,0.60,991.15
1940-03-26,11.51,89.25,3.40,983.70
1940-03-27,10.62,89.29,9.00,982.19
1940-03-28,6.95,82.79,5.50,981.45
1940-03-29,5.17,52.04,0.70,989.84
1940-03-30,4.72,51.33,0.00,999.25
1940-03-31,6.45,64.46,0.00,1007.99
1940-04-01,7.61,67.83,0.00,1007.75
1940-04-02,9.19,69.62,0.00,999.56
1940-04-03,9.03,78.67,0.90,991.88
1940-04-04,12.07,65.38,0.00,989.43
1940-04-05,11.55,52.71,0.00,984.58
1940-04-06,11.05,43.92,0.00,990.70
1940-04-07,10.39,53.83,0.80,997.53
1940-04-08,8.49,62.62,0.40,995.23
1940-04-09,7.85,70.71,1.20,993.28
1940-04-10,8.17,71.54,0.80,995.63
1940-04-11,8.20,63.75,0.00,995.71
1940-04-12,7.83,52.58,0.10,992.60
1940-04-13,7.59,63.17,0.10,992.36
1940-04-14,7.87,69.96,0.50,993.54
1940-04-15,10.63,65.38,0.00,992.49
1940-04-16,11.33,74.83,0.30,992.87
1940-04-17,12.35,75.62,4.90,995.44
1940-04-18,13.22,81.67,2.30,994.50
1940-04-19,13.29,80.46,0.70,996.90
1940-04-20,13.95,74.50,0.20,999.57
1940-04-21,15.84,66.92,0.00,1000.60
1940-04-22,16.09,69.71,0.00,999.34
1940-04-23,17.93,63.71,0.00,995.62
1940-04-24,15.95,67.79,0.50,993.11
1940-04-25,14.06,83.92,4.10,996.18
1940-04-26,15.15,72.21,0.20,995.28
1940-04-27,15.28,73.79,0.10,993.34
1940-04-28,16.31,79.96,2.30,992.24
1940-04-29,15.93,83.92,5.60,992.15
1940-04-30,14.99,85.67,12.40,991.71
1940-05-01,14.50,90.04,20.90,989.62
